Progress,duration,RecordedDate,id,consent_1,consent_2,definition,AIMES_4,AIMES_1,AIMES_2,AIMES_8,AIMES_6,AIMES_5,AIMES_7,AIMES_9,AIMES_10,AIMES_11,AIMES_15,AIMES_14,AIMES_17,NEW_1,NEW_2,SPIRIT_10,SPIRIT_12,AIMES_18,AIMES_19,AIMES_20,NEW_3,ATT_1_[3],DISPO_29,DISPO_21,DISPO_22,DISPO_34,DISPO_32,DISPO_37,DISPO_38,DISPO_39,DISPO_16,DISPO_36,DISPO_28,DISPO_26,DISPO_33,NEW_4,NEW_5,DISPO_23,NEW_6,NEW_7,NEW_8,NEW_9,NEW_10,ATT_2_[6],DISPO_8,DISPO_13,DISPO_18,DISPO_19,DISPO_1,DISPO_5,DISPO_6,DISPO_20,DISPO_7,DISPO_2,DISPO_10,DISPO_11,DISPO_12,DISPO_15,NEW_11,NEW_12,ATT_3_[1],cc_worry_self,cc_worry_futuregen,age,sex,gender,gender_6_TEXT,politics_1,politics_2,politics_3,attention,SC0,PROLIFIC_PID,att_score,Submission id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,ethnicity
100,230s (~3.83 minutes),2022-11-08 16:19:31,5da8e16357b45000179c94b2,1,NA,"nature is life in general whether it be the rivers and forests, it can be everything physical that is our world.",7,7,7,7,7,4,7,1,7,1,7,7,6,7,7,7,7,7,7,7,7,3,7,1,7,7,4,7,7,7,7,7,7,1,7,7,7,7,7,7,6,7,7,6,4,4,4,1,4,1,2,2,7,6,5,4,6,4,4,5,1,4,4,32,female,woman,NA,7,7,7,1,3,5da8e16357b45000179c94b2,3,636af129b8dfee1861122c55,APPROVED,2022-11-09T00:15:39Z,2022-11-09T00:19:35Z,2022-11-09T00:19:36Z,2022-11-09T00:19:36Z,237,C1L9K35F,756,32,Female,Asian,United States,United States,United States,Korean,DATA_EXPIRED,DATA_EXPIRED,Asian
100,319s (~5.32 minutes),2022-11-08 16:21:59,611171e4f17cbc5e26026d9c,1,NA,"natural beauty, organic",7,4,7,6,7,7,7,5,5,3,5,7,7,7,7,6,7,7,7,7,7,3,7,7,7,7,4,7,7,7,6,7,6,5,4,7,6,7,6,6,5,5,5,6,2,4,4,2,2,4,3,4,7,4,5,6,3,4,4,4,1,4,4,19,female,woman,NA,7,4,7,1,3,611171e4f17cbc5e26026d9c,3,636af161b1b401e390670915,APPROVED,2022-11-09T00:16:37Z,2022-11-09T00:22:03Z,2022-11-09T00:22:03Z,2022-11-09T00:22:03Z,327,C1L9K35F,99,19,Female,Mixed,United States,United States,United States,English,Yes,DATA_EXPIRED,Mixed
100,582s (~9.7 minutes),2022-11-08 16:22:14,60fe21d7301f49dfc4aa5f3a,1,NA,"Everything that exists in its natural/original and uninterrupted state. To an extent though, everything is nature because it all exists.",6,4,5,4,4,3,6,6,4,3,6,5,6,6,5,5,6,7,7,7,7,3,6,6,4,6,6,5,7,7,2,7,4,6,3,5,5,4,5,4,6,2,4,6,4,4,2,3,5,4,3,6,6,5,5,5,6,4,4,4,1,3,4,34,female,woman,NA,6,4,6,1,3,60fe21d7301f49dfc4aa5f3a,3,636af063922e46335fb2e589,APPROVED,2022-11-09T00:12:23Z,2022-11-09T00:22:19Z,2022-11-09T00:22:19Z,2022-11-09T00:22:19Z,596,C1L9K35F,700,34,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,White
100,580s (~9.67 minutes),2022-11-08 16:22:25,578b7f0e900cc80001d2e55f,1,NA,"Nature is everything around - the landscape, animals, plants, everything in the water and the sky",5,3,4,6,7,6,7,7,6,1,4,4,2,7,6,5,6,7,6,4,7,3,5,6,7,6,7,6,7,6,1,7,4,5,3,7,2,4,7,7,5,1,5,6,5,5,2,4,4,1,4,7,7,5,4,4,6,7,6,5,1,4,4,35,female,woman,NA,7,7,7,1,3,578b7f0e900cc80001d2e55f,3,636af07511f1384d5b3dd71d,APPROVED,2022-11-09T00:12:42Z,2022-11-09T00:22:28Z,2022-11-09T00:22:29Z,2022-11-09T00:22:29Z,587,C1L9K35F,2312,35,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",White
100,302s (~5.03 minutes),2022-11-08 16:22:56,63614e9f3cf2fc844112feeb,1,NA,"Nature is the ecosystem that exists on this planet without human intervention, i.e., plants, animals, rocks, water, and so on. While humans are themselves ""natural"", their actions on the planet often (negatively) impact nature.",5,6,5,5,7,6,6,7,4,4,5,7,4,7,5,5,6,5,5,5,5,3,6,7,6,7,6,7,7,7,6,6,5,5,3,6,6,4,7,5,6,1,4,6,6,6,5,6,3,4,4,2,6,5,5,7,6,5,3,5,1,4,4,31,female,woman,NA,6,6,7,1,3,63614e9f3cf2fc844112feeb,3,636af1aab833df46a11b8433,APPROVED,2022-11-09T00:17:48Z,2022-11-09T00:23:00Z,2022-11-09T00:23:00Z,2022-11-09T00:23:00Z,312,C1L9K35F,10,31,Female,Mixed,United States,United States,United States,English,No,Full-Time,Mixed
100,424s (~7.07 minutes),2022-11-08 16:22:58,5a74d7f717ef3500016ff92a,1,NA,"All of the flora and fauna in the world, along with the geographic features of the world such as oceans, mountains, deserts, waterfalls, etc. Everything organic that is around us, even when we don't pay attention to it.",5,6,5,4,6,4,4,7,4,6,4,5,5,2,4,4,7,7,7,7,6,3,6,5,6,7,7,6,7,7,3,7,5,7,4,7,6,5,7,6,6,2,5,6,4,6,4,3,3,2,4,6,6,3,6,5,5,5,5,4,1,3,3,32,female,woman,NA,1,2,1,1,3,5a74d7f717ef3500016ff92a,3,636af11cd8e516bb47500574,APPROVED,2022-11-09T00:15:26Z,2022-11-09T00:23:59Z,2022-11-09T00:23:59Z,2022-11-09T00:23:59Z,513,C1L9K35F,1261,32,Female,White,United States,United States,United States,English,No,DATA_EXPIRED,White
100,383s (~6.38 minutes),2022-11-08 16:23:02,61202a222a23700ed108b394,1,NA,nature is anything NOT man made. So anything that would happen by itself and own it's own without the interference of mankind.,7,7,7,7,7,7,7,7,7,7,7,7,5,4,7,7,2,7,7,7,7,3,7,7,3,7,7,7,7,7,1,7,7,7,7,7,2,2,7,2,2,1,2,6,4,2,7,1,2,4,2,2,2,2,2,2,4,2,2,2,1,4,4,25,male,man,NA,6,6,6,1,3,61202a222a23700ed108b394,3,636af160be45ff09ef222da7,APPROVED,2022-11-09T00:16:36Z,2022-11-09T00:23:06Z,2022-11-09T00:23:07Z,2022-11-09T00:23:07Z,391,C1L9K35F,1785,27,Male,White,United States,United States,United States,English,No,Part-Time,White
100,318s (~5.3 minutes),2022-11-08 16:23:20,5b7f12c28e39df00016ad638,1,NA,"Life on earth, trees, grass, sun, air.",3,3,4,3,2,3,2,4,7,4,3,4,2,3,3,3,4,5,3,3,5,3,3,5,4,4,3,6,7,7,3,7,3,2,5,4,3,2,5,3,4,3,3,6,1,3,3,2,1,2,1,1,6,4,5,3,3,4,2,1,1,4,4,32,female,woman,NA,6,6,6,1,3,5b7f12c28e39df00016ad638,3,636af1ad7f1f85bf356d71b2,APPROVED,2022-11-09T00:17:59Z,2022-11-09T00:23:22Z,2022-11-09T00:23:23Z,2022-11-09T00:23:23Z,324,C1L9K35F,145,32,Female,DATA_EXPIRED,United States,United States,United States,English,No,DATA_EXPIRED,NA
100,497s (~8.28 minutes),2022-11-08 16:24:37,633f63a85f73534dbcfa5ae5,1,NA,"Nature, a name for what we call life. That itself is difficult to define. Nature could also be the physical processes that naturally occur. Winds are nature but do not involve life directly as they are interactions of heat and motion of the Earth and the atmosphere along with atmospheric pressure. Nature can mean all systems of life, or systems occurring in the universe governed by the fundamental laws us as human beings presently understand.",4,6,6,3,6,5,5,4,6,3,6,6,2,6,3,6,5,6,7,6,7,3,7,2,3,7,5,7,5,5,6,5,5,5,5,7,4,6,6,5,6,2,5,6,6,7,6,6,4,2,5,5,7,4,6,6,5,5,4,6,1,4,4,30,male,non-binary,NA,6,6,7,1,3,633f63a85f73534dbcfa5ae5,3,636af12827ce68e5328eb7c9,APPROVED,2022-11-09T00:16:18Z,2022-11-09T00:24:41Z,2022-11-09T00:24:41Z,2022-11-09T00:24:41Z,504,C1L9K35F,17,30,Male,White,United States,United States,United States,English,Yes,DATA_EXPIRED,White
100,413s (~6.88 minutes),2022-11-08 16:25:06,5fc6f4cff3df11159190cbef,1,NA,There are many different kinds of nature like human nature or a park full of trees or the amazon rainforest but I like to think of it as the natural way of things,6,4,6,4,4,4,4,3,5,5,6,6,3,5,3,5,3,7,4,4,5,3,6,3,5,6,5,4,7,7,4,7,7,3,1,6,4,2,4,5,4,4,4,6,5,5,2,4,5,1,4,5,6,4,4,5,4,5,2,4,1,4,4,24,no_answer,non-binary,NA,5,5,6,1,3,5fc6f4cff3df11159190cbef,3,636af1bf11f1384d5b3dd733,APPROVED,2022-11-09T00:18:10Z,2022-11-09T00:25:10Z,2022-11-09T00:25:10Z,2022-11-09T00:25:10Z,420,C1L9K35F,391,24,Prefer not to say,White,United States,United States,United States,English,No,Full-Time,White
100,912s (~15.2 minutes),2022-11-08 16:25:08,62c77c9d335892f544f03728,1,NA,Nature is the natural greenery outside. It is important to note that it is not manmade - that is artificial nature.,7,7,6,6,6,6,6,5,4,3,5,7,6,6,4,7,7,5,7,7,6,3,5,2,6,7,6,7,7,7,4,7,5,6,4,6,4,3,7,5,7,1,1,6,4,4,3,4,2,5,1,4,7,4,4,4,5,3,7,6,1,3,4,22,female,woman,NA,4,2,5,1,3,62c77c9d335892f544f03728,3,636aefcad2e43f126ec4a81d,APPROVED,2022-11-09T00:09:52Z,2022-11-09T00:25:11Z,2022-11-09T00:25:11Z,2022-11-09T00:25:11Z,920,C1L9K35F,80,22,Female,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time,White
100,383s (~6.38 minutes),2022-11-08 16:27:35,60fee33246ba3ce9f2862bf2,1,NA,Anything that occurs naturally outdoors.,2,2,2,1,2,2,2,6,5,2,2,6,1,1,1,2,2,7,2,3,2,3,2,3,6,5,7,3,7,5,2,7,3,6,3,3,2,1,4,1,3,1,1,6,1,5,1,3,1,3,1,1,3,1,2,2,3,1,2,1,1,1,1,22,female,woman,NA,4,3,5,1,3,60fee33246ba3ce9f2862bf2,3,636af26ca801c28512ec9d97,APPROVED,2022-11-09T00:21:04Z,2022-11-09T00:27:39Z,2022-11-09T00:27:39Z,2022-11-09T00:27:39Z,396,C1L9K35F,266,22,Female,White,United States,United States,United States,English,No,DATA_EXPIRED,White
100,374s (~6.23 minutes),2022-11-08 16:28:51,5e0fb89ea6eb606ccf49c0bd,1,NA,The state of the universe.,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,3,6,7,7,7,6,7,7,7,7,7,7,7,7,7,3,4,7,7,7,2,7,6,4,5,3,2,3,5,2,7,6,5,5,6,6,5,7,4,1,4,4,28,female,trans man,NA,7,7,7,1,3,5e0fb89ea6eb606ccf49c0bd,3,636af2c5192c4045702632c7,APPROVED,2022-11-09T00:22:33Z,2022-11-09T00:28:54Z,2022-11-09T00:28:54Z,2022-11-09T00:28:54Z,381,C1L9K35F,361,28,Female,Mixed,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",Mixed
100,377s (~6.28 minutes),2022-11-08 16:31:35,60fe08403e9ef3ae2739fe19,1,NA,Our living and nonliving environment on planet earth that was not man-made.,6,7,7,6,6,4,4,7,6,4,6,7,5,6,6,6,7,7,7,7,7,3,7,5,7,7,7,7,7,7,4,7,7,6,6,6,6,1,7,6,7,1,7,6,6,5,2,6,1,6,1,1,7,6,6,4,3,7,4,1,1,4,4,25,female,woman,NA,4,3,5,1,3,60fe08403e9ef3ae2739fe19,3,636af3666dd15684ce95e3a6,APPROVED,2022-11-09T00:25:12Z,2022-11-09T00:31:38Z,2022-11-09T00:31:38Z,2022-11-09T00:31:38Z,386,C1L9K35F,240,25,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,White
100,465s (~7.75 minutes),2022-11-08 16:31:57,5c7bfe8cf066ff000168d42c,1,NA,"Outside areas that have an abundance of grass, trees, and organic growth.",1,1,1,1,2,1,1,7,6,2,1,1,1,2,1,1,2,2,3,2,2,3,1,3,6,1,1,4,2,2,1,1,1,1,1,1,1,1,2,1,2,1,1,6,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,4,4,36,female,woman,NA,5,5,7,1,3,5c7bfe8cf066ff000168d42c,3,636af325f389e3ab4ec4a824,APPROVED,2022-11-09T00:24:08Z,2022-11-09T00:31:59Z,2022-11-09T00:32:00Z,2022-11-09T00:32:00Z,472,C1L9K35F,225,36,Female,White,United States,United States,United States,English,No,Full-Time,White
100,248s (~4.13 minutes),2022-11-08 16:34:51,5b774f493c1375000197ad11,1,NA,Anything natural in the natural environment,7,4,4,4,3,2,3,4,7,7,3,4,3,1,4,4,7,4,7,4,5,3,7,4,7,7,6,7,7,7,7,7,4,5,1,7,4,1,5,4,7,2,2,6,2,4,5,1,4,5,4,7,4,3,4,4,4,4,4,2,1,3,3,29,female,woman,NA,7,7,7,1,3,5b774f493c1375000197ad11,3,636af4a9bd0e9c615326329b,APPROVED,2022-11-09T00:30:36Z,2022-11-09T00:34:55Z,2022-11-09T00:34:56Z,2022-11-09T00:34:55Z,259,C1L9K35F,2179,29,Female,White,United States,United States,United States,English,No,Part-Time,White
100,199s (~3.32 minutes),2022-11-08 16:36:07,5fabff8337f43a0d35bab6a4,1,NA,Areas undisturbed by human construction or settlement.,2,1,1,1,1,1,1,5,5,4,1,1,1,4,2,3,1,4,3,4,4,3,3,5,3,2,6,4,5,6,2,4,1,5,2,3,2,3,2,4,4,1,1,6,1,2,2,1,4,1,2,5,6,1,3,1,4,2,1,4,1,3,3,32,male,man,NA,5,5,5,1,3,5fabff8337f43a0d35bab6a4,3,636af51ee17fd1e94c3dd742,APPROVED,2022-11-09T00:32:45Z,2022-11-09T00:36:10Z,2022-11-09T00:36:10Z,2022-11-09T00:36:10Z,205,C1L9K35F,276,32,Male,White,United States,United States,United States,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)",White
100,444s (~7.4 minutes),2022-11-08 16:38:24,633710a48d16347ec1213495,1,NA,"Grass, trees, animals, the entire ecosystem in general",3,2,3,3,3,3,3,4,4,5,2,3,3,2,4,2,4,6,5,4,4,3,5,1,2,6,7,2,7,2,3,7,1,5,5,6,1,1,4,4,4,1,4,6,3,2,2,4,5,1,1,3,1,2,2,2,3,2,2,4,1,3,4,30,male,man,NA,5,5,5,1,3,633710a48d16347ec1213495,3,636af4ba37b3d12c29b2e580,APPROVED,2022-11-09T00:30:56Z,2022-11-09T00:38:28Z,2022-11-09T00:38:34Z,2022-11-09T00:38:29Z,453,C1L9K35F,30,30,Male,White,United States,United States,United States,English,No,DATA_EXPIRED,White
100,290s (~4.83 minutes),2022-11-08 16:38:27,610817e5cb857f0878a6a4e2,1,NA,The natural environment that exists on earth without human interference of creation.,6,6,5,4,6,5,5,7,5,3,5,5,6,2,7,6,7,7,7,3,7,3,5,3,2,7,7,7,7,7,2,7,3,4,6,7,4,2,6,5,5,1,3,6,3,7,1,5,1,2,1,1,7,2,5,2,2,4,1,1,1,4,4,32,female,woman,NA,7,7,7,1,3,610817e5cb857f0878a6a4e2,3,636af55b9442f8c790263288,APPROVED,2022-11-09T00:33:33Z,2022-11-09T00:38:28Z,2022-11-09T00:38:29Z,2022-11-09T00:38:29Z,296,C1L9K35F,597,32,Female,White,United States,United States,United States,English,Yes,Part-Time,White
100,283s (~4.72 minutes),2022-11-08 16:39:37,61193cb75db7b18149b12ba7,1,NA,The outdoors. The natural.,1,1,2,1,1,1,2,7,7,1,1,4,1,4,1,1,7,5,6,1,5,3,2,1,7,7,7,3,7,7,1,7,2,7,1,6,1,2,5,7,5,1,1,6,6,2,1,2,1,1,1,1,2,5,5,1,1,5,1,5,1,4,4,22,female,woman,NA,7,7,7,1,3,61193cb75db7b18149b12ba7,3,636af5a9285c4932960aecef,APPROVED,2022-11-09T00:34:51Z,2022-11-09T00:39:41Z,2022-11-09T00:39:41Z,2022-11-09T00:39:41Z,290,C1L9K35F,116,22,Female,Asian,United States,United States,United States,English,No,DATA_EXPIRED,Asian
100,365s (~6.08 minutes),2022-11-08 16:39:37,62db4e285c55a3d3ae1fae84,1,NA,"The inorganic and organic systems that is not man made and operate beyond our control, such as ecosystems, the underlying laws of the universe, etc.",4,4,4,4,4,1,3,4,2,3,4,3,4,7,5,3,5,7,7,4,4,3,4,6,5,5,1,5,4,5,4,4,4,5,2,6,4,1,5,4,4,1,4,6,4,2,4,2,3,1,1,1,1,2,5,2,4,1,3,3,1,3,3,23,male,man,NA,4,4,4,1,3,62db4e285c55a3d3ae1fae84,3,636af558ae82449c6b95e3d2,APPROVED,2022-11-09T00:33:29Z,2022-11-09T00:39:39Z,2022-11-09T00:39:39Z,2022-11-09T00:39:39Z,370,C1L9K35F,240,23,Male,Asian,United States,United States,United States,Mandarin,No,Full-Time,Asian
100,421s (~7.02 minutes),2022-11-08 16:42:35,5effca0389eb590c6eed8d4d,1,NA,The world and every naturally occuring thing that exists inside of it.,7,3,3,2,1,1,2,2,3,7,2,6,4,6,1,5,7,6,3,6,5,3,7,1,6,6,3,2,7,3,1,7,2,4,1,1,2,1,6,5,6,1,4,6,1,6,6,6,4,1,2,7,4,2,1,2,5,2,6,5,1,2,2,20,male,non-binary,NA,6,6,6,1,3,5effca0389eb590c6eed8d4d,3,636af5cb68d77d2f20f34dd7,APPROVED,2022-11-09T00:35:26Z,2022-11-09T00:42:37Z,2022-11-09T00:42:37Z,2022-11-09T00:42:37Z,432,C1L9K35F,1565,20,Male,Mixed,United States,United States,United States,English,No,Part-Time,Mixed
100,456s (~7.6 minutes),2022-11-08 16:42:48,5f48c192be8b6224c26c3e50,1,NA,Anything that happens or is living without the help of humans.,7,6,7,7,7,7,7,7,7,1,7,7,4,7,7,6,7,7,7,7,7,3,7,4,7,6,7,7,7,7,4,7,7,7,6,6,1,7,7,7,7,1,7,6,4,5,7,2,1,2,7,7,4,2,6,1,7,7,5,3,1,4,3,38,female,woman,NA,7,7,7,1,3,5f48c192be8b6224c26c3e50,3,636af5b7f7b704ad93d5baa8,APPROVED,2022-11-09T00:35:08Z,2022-11-09T00:42:51Z,2022-11-09T00:42:51Z,2022-11-09T00:42:51Z,464,C1L9K35F,1889,38,Female,White,United States,United States,United States,English,No,Part-Time,White
100,313s (~5.22 minutes),2022-11-08 16:42:57,5f73b408362bba136a2d8eab,1,NA,Any outdoor space that is undeveloped,7,6,4,6,7,3,6,5,2,5,7,7,5,7,6,6,6,7,7,7,5,3,3,4,6,6,7,7,7,7,4,7,7,4,3,7,5,5,7,7,7,1,7,6,2,2,7,2,1,2,4,5,7,4,3,3,6,3,5,5,1,4,4,23,female,woman,NA,6,6,7,1,3,5f73b408362bba136a2d8eab,3,636af653889e0c8ff38eb7b8,APPROVED,2022-11-09T00:37:41Z,2022-11-09T00:42:59Z,2022-11-09T00:42:59Z,2022-11-09T00:42:59Z,318,C1L9K35F,110,23,Female,White,United States,United States,United States,English,No,Full-Time,White
