Progress,duration,RecordedDate,student_id,definition,AIMES_4,AIMES_1,AIMES_2,AIMES_8,AIMES_6,AIMES_5,AIMES_7,AIMES_9,AIMES_10,AIMES_11,AIMES_15,AIMES_14,AIMES_17,NEW_1,NEW_2,SPIRIT_10,SPIRIT_12,AIMES_18,AIMES_19,AIMES_20,NEW_3,ATT_1_[3],DISPO_29,DISPO_21,DISPO_22,DISPO_34,DISPO_32,DISPO_37,DISPO_38,DISPO_39,DISPO_16,DISPO_36,DISPO_28,DISPO_26,DISPO_33,NEW_4,NEW_5,DISPO_23,NEW_6,NEW_7,NEW_8,NEW_9,NEW_10,ATT_2_[6],DISPO_8,DISPO_13,DISPO_18,DISPO_19,DISPO_1,DISPO_5,DISPO_6,DISPO_20,DISPO_7,DISPO_2,DISPO_10,DISPO_11,DISPO_12,DISPO_15,NEW_11,NEW_12,ATT_3_[1],nature_child,open_nature_child,land_child_cat_1,land_child_cat_2,land_child_cat_3,land_child_cat_4,land_child_cat_5,land_child_cat_6,land_child_cat_7,land_child_cat_8,land_child_cat_8_TEXT,land_child_freq,nature_live_now,open_nature_now,land_now_cat_1,land_now_cat_2,land_now_cat_3,land_now_cat_4,land_now_cat_5,land_now_cat_6,land_now_cat_7,land_now_cat_8,land_now_cat_8_TEXT,land_now_freq,age,gender,gender_6_TEXT,sex,ethnoracial,ethnomixed_1,ethnomixed_2,ethnomixed_3,ethnomixed_4,ethnomixed_5,ethnomixed_6,ethnomixed_7,ethnomixed_8,ethnoasian_1,ethnoasian_2,ethnoasian_3,ethnoasian_4,ethnoasian_5,ethnoasian_6,ethnoasian_7,ethnoasian_8,ethnoasian_9,ethnoasian_10,ethnoasian_11,ethnoasian_12,ethnoasian_13,ethnoasian_14,ethnoasian_15,ethnoasian_16,ethnoasian_17,ethnoasian_18,ethnoasian_19,ethnoasian_20,ethnoasian_21,ethnoasian_22,ethnoasian_23,ethnoasian_24,ethnoasian_25,ethnoasian_26,ethnoasian_27,ethnoasian_28,ethnoasian_29,ethnoasian_30,ethnoasian_31,ethnoasian_32,ethnoasian_33,ethnoasian_34,ethnoasian_35,ethnoasian_36,ethnoPI_1,ethnoPI_2,ethnoPI_3,ethnoPI_4,ethnoPI_5,ethnoPI_6,ethnoPI_7,ethnoPI_8,ethnoPI_9,ethnoPI_10,ethnoPI_11,ethnoPI_12,ethnoPI_13,ethnoPI_14,ethnoPI_15,ethnoPI_16,ethnoPI_17,ethnoPI_17_TEXT,countryborn,countrygrow,countrylive,agemoveUS,state,zip,college year,college year_9_TEXT,major,SESpeer,SESfamily,familywealth,politics_1,politics_2,politics_3,subjectATT,hearstudy,SC0,id,lab,round2,ATT_1,ATT_2,ATT_3,att_total,att_pc
100,599s (~9.98 minutes),2023-02-20 13:34:44,NA,The innate characteristic of something/someone.,1,1,1,1,3,1,1,3,2,6,1,1,1,1,1,1,4,6,3,3,1,3,4,5,2,3,3,2,4,2,1,5,1,1,1,1,1,1,3,2,1,1,2,6,1,1,1,1,1,1,1,1,5,2,2,1,1,2,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Beaches are near but mostly suburban settings,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,man,NA,male,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162,162,189,NA,6,92122,3,NA,15,5,5,13,4,4,4,1,2,3,30423,dobkins,NA,1,1,1,3,1
100,1179s (~19.65 minutes),2023-02-20 13:40:37,3037,"Untouched environment of the earth, away from man-made objects",4,3,4,2,3,2,2,2,2,4,4,3,1,4,4,3,7,7,4,4,4,3,5,3,5,6,2,4,7,7,3,7,4,2,4,5,4,2,5,2,6,1,4,6,6,4,4,2,4,5,1,5,5,6,5,5,3,3,6,2,1,2,"Lots of maintain areas, and some forests next to residential area",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Some small mountains and beaches beside the city area,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,woman,NA,female,8,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189,189,189,NA,6,92117,4,NA,15,5,4,3,4,3,7,1,2,3,34759,dobkins,NA,1,1,1,3,1
100,650s (~10.83 minutes),2023-02-20 13:41:26,NA,"The unchanged or unchangeable aspect of the world, either within a person, or within the world as a whole.",1,1,2,1,1,1,1,4,3,6,2,3,1,1,1,2,6,5,5,3,4,3,3,4,1,6,1,5,5,6,1,7,1,1,5,7,1,1,3,2,6,1,1,6,2,2,4,4,1,1,1,1,5,3,3,3,1,2,1,1,1,1,"Beaches for most, and mountains for a small time.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"A mix of Deserts, Mountains and Beaches.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,man,NA,male,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189,189,189,NA,6,91304,3,NA,78,6,8,11,5,6,3,1,2,3,46503,dobkins,NA,1,1,1,3,1
100,449s (~7.48 minutes),2023-02-20 13:50:05,521,I would define nature as big areas of greenery that has been untouched by humans.,4,2,3,2,3,3,2,6,6,2,4,5,3,6,2,2,5,7,4,4,5,3,2,6,1,2,6,5,7,5,1,7,2,6,3,1,1,3,5,2,7,1,2,6,4,1,4,3,1,3,1,2,4,2,1,2,3,2,3,3,1,2,I grew up in very dry valleys that are in between mountains.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"aside from the the tall buildings and towers, there are beaches nearby them",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,woman,NA,female,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189,189,189,NA,6,92102,2,NA,NA,4,4,5,5,5,6,1,2,3,44931,dobkins,NA,1,1,1,3,1
100,2286s (~38.1 minutes),2023-02-20 14:42:30,1805,Nature is what is natural. Like rivers and deserts or some of our own characteristics.,4,3,4,3,4,5,5,7,7,1,2,4,4,7,6,3,4,6,7,7,5,3,4,1,6,4,6,7,7,7,3,7,3,7,1,6,4,5,5,4,5,1,3,6,3,1,6,2,3,5,5,3,7,5,4,5,6,4,1,3,1,2,"mountains, desert, and farmlands.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"beaches, hills.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,woman,NA,female,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189,189,189,2,6,92037,4,NA,78,6,3,4,7,7,7,1,2,3,36621,barner,NA,1,1,1,3,1
100,1060s (~17.67 minutes),2023-02-20 15:04:34,7390,Any physical space that does not have any technology imposed on it in some way that introduces a change to the physical space,5,5,7,1,4,4,1,6,4,2,4,5,1,7,1,4,7,7,6,4,5,3,2,3,7,7,7,5,7,6,4,7,4,7,7,7,1,1,7,4,7,1,5,6,1,6,6,6,2,4,1,1,7,4,4,3,3,3,2,1,1,2,Beaches and mountains close by,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Beaches nearby, forests neraby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,man,NA,male,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189,189,189,NA,6,NA,3,NA,15,8,7,13,4,4,4,1,2,3,38492,barner,NA,1,1,1,3,1
100,574s (~9.57 minutes),2023-02-20 15:15:46,9704,things that are not man-made but created by the universe,5,5,6,5,5,5,5,3,5,5,7,6,4,5,4,5,5,7,5,5,6,3,6,5,7,7,6,5,7,7,5,7,7,4,7,7,4,3,4,4,5,2,3,6,4,4,3,4,2,5,2,4,7,3,5,4,4,3,5,5,1,2,beaches,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"beaches
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,woman,NA,female,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189,189,189,NA,6,92093,2,NA,78,6,8,11,6,6,7,1,2,3,46257,dobkins,NA,1,1,1,3,1
100,2271s (~37.85 minutes),2023-02-20 15:20:54,9373,"The inherent and objective characteristics of an object
",1,1,1,1,1,2,1,7,6,1,1,3,1,2,1,1,2,4,4,2,3,3,4,6,4,7,3,5,7,7,1,1,5,5,5,1,1,2,4,2,4,1,4,6,1,6,1,1,4,3,1,1,5,6,4,4,2,7,1,3,1,2,Small local parks and small patches of desert and beaches,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,More closer to beaches and less local parks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,man,NA,male,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189,189,189,NA,6,92037,3,NA,78,5,9,12,3,4,3,1,2,3,45060,barner,NA,1,1,1,3,1
100,982s (~16.37 minutes),2023-02-20 16:05:23,919,organic; none-artifical,3,1,3,2,4,1,4,5,3,7,4,4,4,6,3,3,3,5,4,5,4,3,3,1,3,4,6,3,1,3,5,2,3,2,3,3,1,1,2,4,2,1,5,6,2,3,1,4,3,3,1,3,7,2,4,2,3,4,2,2,1,2,mountains,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,mountains and beaches,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,woman,NA,female,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,37,189,NA,6,92130,2,NA,95,6,6,13,3,3,5,1,2,3,40325,dobkins,NA,1,1,1,3,1
100,415s (~6.92 minutes),2023-02-20 16:09:13,3865,I define nature as non-man-made areas that involve environmental factors,4,3,5,3,4,4,4,7,4,2,3,2,5,3,2,4,5,4,3,3,5,3,6,3,7,5,1,6,7,7,3,7,4,3,6,4,3,2,6,5,5,1,2,6,4,3,2,2,4,2,1,5,7,2,4,5,3,4,4,3,1,2,Beaches,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Beaches,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,woman,NA,female,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189,189,189,NA,6,92120,3,NA,15,7,8,7,6,5,7,1,2,3,36287,dobkins,NA,1,1,1,3,1
100,21692s (~6.03 hours),2023-02-20 16:21:03,NA,The interaction between the world and its living organisms,3,1,5,1,7,1,3,1,1,7,4,5,1,2,3,1,7,7,7,4,7,3,4,7,5,7,5,6,4,7,7,7,4,4,4,7,1,1,7,4,7,1,7,6,4,1,7,1,3,1,1,5,7,1,4,7,7,2,7,4,1,1,Dirt hills with some grass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,The same as previous answer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,man,NA,male,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189,189,189,NA,6,92126,3,NA,78,5,6,2,4,6,6,1,2,3,45862,barner,NA,1,1,1,3,1
